"marker" "tissue" "fineCluster" "nCells" "UMIsum" "nth" "median" "f90" "UMItotal" "Alias" "Clone" "Isotype_Mouse" "Corresponding_gene" "TotalSeqC_Tag" "BioLegend_Cat" "Stock_conc_µg_per_mL" "conc_µg_per_mL" "dilution_1x" "marker.y" "DSB.cutoff" "positive" "count" "pct"
"25" "CD19" "PBMC" "6" 262 5896 40 20 40 6275 NA "HIB19" "IgG1" "CD19" "0050" 302265 500 1 500 "CD19" 7 137 1777 7.71
"26" "CD19" "Lung" "8" 518 50800 222.6 57 222.6 46190 NA "HIB19" "IgG1" "CD19" "0050" 302265 500 1 500 "CD19" 7 421 1681 25.04
"27" "CD194" "PBMC" "0" 1224 6454 13 3 13 7600 "CCR4" "L291H4" "IgG1" "CCR4" "0071" 359425 500 1.25 400 "CD194" 5 192 1777 10.8
"28" "CD194" "Lung" "19" 50 592 9.5 9.5 22.3 6931 "CCR4" "L291H4" "IgG1" "CCR4" "0071" 359425 500 1.25 400 "CD194" 5 87 1681 5.18
"29" "CD196" "PBMC" "0" 1224 410 1 0 1 661 "CCR6" "G034E3" "IgG2b" "CCR6" "0143" 353440 500 0.625 800 "CD196" 7 13 1777 0.73
"30" "CD196" "Lung" "0" 110 31 1 0 1 876 "CCR6" "G034E3" "IgG2b" "CCR6" "0143" 353440 500 0.625 800 "CD196" 7 24 1681 1.43
"31" "CD197" "PBMC" "5" 238 3419 20.3 12 20.3 23013 "CCR7" "G043H7" "IgG2a" "CCR7" "0148" 353251 500 10 50 "CD197" 4 4 1777 0.23
"32" "CD197" "Lung" "19" 50 2204 34.5 34.5 76.3 34608 "CCR7" "G043H7" "IgG2a" "CCR7" "0148" 353251 500 10 50 "CD197" 4 10 1681 0.59
"33" "CD1a" "PBMC" "5" 238 1610 11 6 11 10850 NA "HI149" "IgG1" "CD1A" "0402" 300135 500 5 100 "CD1a" 6 2 1777 0.11
"34" "CD1a" "Lung" "19" 50 47457 850 850 2128.2 50180 NA "HI149" "IgG1" "CD1A" "0402" 300135 500 5 100 "CD1a" 6 42 1681 2.5
"35" "CD1c" "PBMC" "6" 262 1455 13.9 4 13.9 3588 NA "L161" "IgG1" "CD1C" "0160" 331547 500 0.5 1000 "CD1c" 7 123 1777 6.92
"36" "CD1c" "Lung" "19" 50 803 10.5 10.5 31.2 3502 NA "L161" "IgG1" "CD1C" "0160" 331547 500 0.5 1000 "CD1c" 7 69 1681 4.1
"37" "CD2" "PBMC" "0" 1224 13640 23 9 23 15778 NA "TS1/8" "IgG1" "CD2" "0367" 309231 500 0.1 5000 "CD2" 12 928 1777 52.22
"38" "CD2" "Lung" "16" 132 1757 31.9 9 31.9 19637 NA "TS1/8" "IgG1" "CD2" "0367" 309231 500 0.1 5000 "CD2" 12 1075 1681 63.95
"39" "CD223" "PBMC" "1" 638 1567 5 2 5 3695 NA "11C3C65" "IgG1" "LAG3" "0152" 369335 500 1 500 "CD223" 6 6 1777 0.34
"40" "CD223" "Lung" "12" 260 630 5 2 5 4752 NA "11C3C65" "IgG1" "LAG3" "0152" 369335 500 1 500 "CD223" 6 8 1681 0.48
"41" "CD24" "PBMC" "6" 262 1125 8 3.5 8 3955 NA "ML5" "IgG2a" "CD24" "0180" 311143 500 3.3 151.515151515151 "CD24" 5.5 56 1777 3.15
"42" "CD24" "Lung" "13" 206 920 9 3 9 5485 NA "ML5" "IgG2a" "CD24" "0180" 311143 500 3.3 151.515151515151 "CD24" 5.5 60 1681 3.57
"43" "CD25" "PBMC" "0" 1224 2124 4 1 4 3401 NA "BC96" "IgG1" "IL2RA" "0085" 302649 500 1.25 400 "CD25" 6 7 1777 0.39
"44" "CD25" "Lung" "14" 174 2190 27 8 27 6192 NA "BC96" "IgG1" "IL2RA" "0085" 302649 500 1.25 400 "CD25" 6 125 1681 7.44
"45" "CD26" "PBMC" "0" 1224 8695 14 5 14 12185 "DPP4" "BA5b" "IgG2a" "DPP4" "0396" 302722 500 1.25 400 "CD26" 8 128 1777 7.2
"46" "CD26" "Lung" "18" 108 2431 57.6 8.5 57.6 22898 "DPP4" "BA5b" "IgG2a" "DPP4" "0396" 302722 500 1.25 400 "CD26" 8 362 1681 21.53
"47" "CD274" "PBMC" "5" 238 514 4.30000000000001 2 4.30000000000001 2873 "B7-H1 (PD-L1)" "29E.2A3" "IgG2a" "CD274" "0007" 329751 500 1.25 400 "CD274" 7 7 1777 0.39
"48" "CD274" "Lung" "12" 260 3795 30 9 30 9200 "B7-H1 (PD-L1)" "29E.2A3" "IgG2a" "CD274" "0007" 329751 500 1.25 400 "CD274" 7 255 1681 15.17
"49" "CD279" "PBMC" "2" 476 4115 14 8 14 15050 "PD-1" "EH12.2H7" "IgG1" "PDCD1" "0088" 329963 500 5 100 "CD279" 3.5 41 1777 2.31
"50" "CD279" "Lung" "16" 132 2101 34.6 12 34.6 27730 "PD-1" "EH12.2H7" "IgG1" "PDCD1" "0088" 329963 500 5 100 "CD279" 3.5 380 1681 22.61
"51" "CD28" "PBMC" "0" 1224 10447 15 7 15 11777 NA "CD28.2" "IgG1" "CD28" "0386" 302963 500 1.25 400 "CD28" 5 517 1777 29.09
"52" "CD28" "Lung" "14" 174 3069 32 15 32 13839 NA "CD28.2" "IgG1" "CD28" "0386" 302963 500 1.25 400 "CD28" 5 421 1681 25.04
"53" "CD3" "PBMC" "0" 1224 15976 27 9 27 14063 NA "UCHT1" "IgG1" "CD3E" "0034" 300479 500 0.5 1000 "CD3" 8 765 1777 43.05
"54" "CD3" "Lung" "14" 174 2435 29.7 10 29.7 13145 NA "UCHT1" "IgG1" "CD3E" "0034" 300479 500 0.5 1000 "CD3" 8 902 1681 53.66
"55" "CD30" "PBMC" "5" 238 1627 11 6 11 10130 NA "BY88" "IgG1" "TNFRSF8" "0028" 333919 500 5 100 "CD30" 5.5 0 1777 0
"56" "CD30" "Lung" "12" 260 1777 12 6 12 12441 NA "BY88" "IgG1" "TNFRSF8" "0028" 333919 500 5 100 "CD30" 5.5 3 1681 0.18
"57" "CD31" "PBMC" "1" 638 8971 30 10 30 15087 "PECAM-1" "WM59" "IgG1" "PECAM1" "0124" 303139 500 0.1 5000 "CD31" 12 743 1777 41.81
"58" "CD31" "Lung" "8" 518 8753 39 10 39 11528 "PECAM-1" "WM59" "IgG1" "PECAM1" "0124" 303139 500 0.1 5000 "CD31" 12 514 1681 30.58
"59" "CD366" "PBMC" "1" 638 2813 8 4 8 6986 NA "F38-2E2" "IgG1" "HAVCR2" "0169" 345049 500 2.5 200 "CD366" 4.5 41 1777 2.31
"60" "CD366" "Lung" "12" 260 1403 9.09999999999999 5 9.09999999999999 8545 NA "F38-2E2" "IgG1" "HAVCR2" "0169" 345049 500 2.5 200 "CD366" 4.5 52 1681 3.09
"61" "CD39" "PBMC" "4" 320 1129 8 3 8 4335 NA "A1" "IgG1" "ENTPD1" "0176" 328237 500 0.625 800 "CD39" 8 327 1777 18.4
"62" "CD39" "Lung" "18" 108 2702 62.2 18 62.2 23358 NA "A1" "IgG1" "ENTPD1" "0176" 328237 500 0.625 800 "CD39" 8 886 1681 52.71
"63" "CD4" "PBMC" "0" 1224 50342 82 32 82 54025 NA "RPA-T4" "IgG1" "CD4" "0072" 300567 500 1 500 "CD4" 7 1069 1777 60.16
"64" "CD4" "Lung" "19" 50 4812 75 75 197.1 39435 NA "RPA-T4" "IgG1" "CD4" "0072" 300567 500 1 500 "CD4" 7 794 1681 47.23
"65" "CD44" "PBMC" "1" 638 9162 32 10 32 22526 NA "BJ18" "IgG1" "CD44" "0125" 338827 500 0.05 10000 "CD44" 7 1529 1777 86.04
"66" "CD44" "Lung" "12" 260 7456 62.1 18 62.1 30253 NA "BJ18" "IgG1" "CD44" "0125" 338827 500 0.05 10000 "CD44" 7 1524 1681 90.66
"67" "CD45" "PBMC" "4" 320 1317 9.10000000000002 3 9.10000000000002 10335 NA "HI30" "IgG1" "PTPRC" "0391" 304068 500 0.1 5000 "CD45" 7 1570 1777 88.35
"68" "CD45" "Lung" "8" 518 4280 18 5 18 13879 NA "HI30" "IgG1" "PTPRC" "0391" 304068 500 0.1 5000 "CD45" 7 1517 1681 90.24
"69" "CD45RA" "PBMC" "9" 150 3181 44 16.5 44 18927 NA "HI100" "IgG2b" "PTPRC" "0063" 304163 500 0.625 800 "CD45RA" 7 735 1777 41.36
"70" "CD45RA" "Lung" "13" 206 7364 70.5 29 70.5 11405 NA "HI100" "IgG2b" "PTPRC" "0063" 304163 500 0.625 800 "CD45RA" 7 360 1681 21.42
"71" "CD45RO" "PBMC" "0" 1224 4050 8 2 8 6140 NA "UCHL1" "IgG2a" "PTPRC" "0087" 304259 500 1.25 400 "CD45RO" 7 349 1777 19.64
"72" "CD45RO" "Lung" "14" 174 1163 15 5 15 10670 NA "UCHL1" "IgG2a" "PTPRC" "0087" 304259 500 1.25 400 "CD45RO" 7 728 1681 43.31
"73" "CD5" "PBMC" "0" 1224 26541 42.7 18 42.7 24587 NA "UCHT2" "IgG1" "CD5" "0138" 300637 500 0.625 800 "CD5" 7 703 1777 39.56
"74" "CD5" "Lung" "3" 824 28367 77 26 77 37527 NA "UCHT2" "IgG1" "CD5" "0138" 300637 500 0.625 800 "CD5" 7 883 1681 52.53
"75" "CD56" "PBMC" "9" 150 268 4 1 4 1321 NA "5.1H11" "IgG1" "NCAM1" "0047" 362559 500 1 500 "CD56" 7 104 1777 5.85
"76" "CD56" "Lung" "7" 614 434 2 0 2 1407 NA "5.1H11" "IgG1" "NCAM1" "0047" 362559 500 1 500 "CD56" 7 56 1681 3.33
"77" "CD62L" "PBMC" "0" 1224 37812 87.4000000000001 9 87.4000000000001 40695 NA "DREG-56" "IgG1" "SELL" "0147" 304851 500 1.25 400 "CD62L" 6 562 1777 31.63
"78" "CD62L" "Lung" "12" 260 1113 8 4 8 7501 NA "DREG-56" "IgG1" "SELL" "0147" 304851 500 1.25 400 "CD62L" 6 10 1681 0.59
"79" "CD66b" "PBMC" "5" 238 3302 19 5 19 7729 NA "6/40c" "IgG1" "CEACAM8" "0166" 392909 500 1 500 "CD66b" 7 64 1777 3.6
"80" "CD66b" "Lung" "12" 260 799 7 2 7 6833 NA "6/40c" "IgG1" "CEACAM8" "0166" 392909 500 1 500 "CD66b" 7 18 1681 1.07
"81" "CD69" "PBMC" "1" 638 19683 63 23 63 29910 NA "FN50" "IgG1" "CD69" "0146" 310951 500 0.625 800 "CD69" 7 532 1777 29.94
"82" "CD69" "Lung" "7" 614 19599 72 22 72 48172 NA "FN50" "IgG1" "CD69" "0146" 310951 500 0.625 800 "CD69" 7 921 1681 54.79
"83" "CD70" "PBMC" "1" 638 782 3 1 3 2205 NA "113-16" "IgG1" "CD70" "0027" 355119 500 0.625 800 "CD70" 5.5 43 1777 2.42
"84" "CD70" "Lung" "13" 206 500 5 2 5 3351 NA "113-16" "IgG1" "CD70" "0027" 355119 500 0.625 800 "CD70" 5.5 112 1681 6.66
"85" "CD8" "PBMC" "2" 476 10610 74.5 4 74.5 17397 NA "RPA-T8" "IgG1" "CD8A" "0080" 301071 500 0.625 800 "CD8" 7 204 1777 11.48
"86" "CD8" "Lung" "7" 614 28619 83.7 43 83.7 28121 NA "RPA-T8" "IgG1" "CD8A" "0080" 301071 500 0.625 800 "CD8" 7 448 1681 26.65
"87" "CD80" "PBMC" "5" 238 442 4 1 4 2889 "B7-1" "2D10" "IgG1" "CD80" "0005" 305243 500 1.25 400 "CD80" 5 31 1777 1.74
"88" "CD80" "Lung" "12" 260 574 5 2 5 4050 "B7-1" "2D10" "IgG1" "CD80" "0005" 305243 500 1.25 400 "CD80" 5 63 1681 3.75
"89" "CD86" "PBMC" "5" 238 7582 50.3 29 50.3 38928 "B7-2" "IT2.2" "IgG2b" "CD86" "0006" 305447 500 10 50 "CD86" 3.5 63 1777 3.55
"90" "CD86" "Lung" "12" 260 7902 54 25 54 41983 "B7-2" "IT2.2" "IgG2b" "CD86" "0006" 305447 500 10 50 "CD86" 3.5 63 1681 3.75
"91" "EpCAM" "PBMC" "5" 238 480 4 1 4 2760 NA "9C4" "IgG2b" "EPCAM" "0123" 324247 500 0.625 800 "EpCAM" 15 1 1777 0.06
"92" "EpCAM" "Lung" "21" 32 8725 166 166 846.700000000001 14662 NA "9C4" "IgG2b" "EPCAM" "0123" 324247 500 0.625 800 "EpCAM" 15 54 1681 3.21
"93" "HLA-ABC" "PBMC" "4" 320 8819 54 22 54 43110 NA "W6/32" "IgG2a" "HLA-A" "0058" 311449 500 1 500 "HLA-ABC" 7 1607 1777 90.43
"94" "HLA-ABC" "Lung" "8" 518 62668 269.8 71 269.8 98299 NA "W6/32" "IgG2a" "HLA-A" "0058" 311449 500 1 500 "HLA-ABC" 7 1564 1681 93.04
"95" "HLA-DR" "PBMC" "6" 262 16907 125 52 125 57951 NA "L243" "IgG2a" "HLA-DRA" "0159" 307663 500 1.65 303.030303030303 "HLA-DR" 7 620 1777 34.89
"96" "HLA-DR" "Lung" "13" 206 25666 305 83.5 305 97764 NA "L243" "IgG2a" "HLA-DRA" "0159" 307663 500 1.65 303.030303030303 "HLA-DR" 7 634 1681 37.72
"97" "IgG1" "PBMC" "5" 238 1680 13 6 13 9297 NA "MOPC-21" NA NA "0090" 400187 500 2.5 200 "IgG1" 5 4 1777 0.23
"98" "IgG1" "Lung" "19" 50 583 11 11 20.1 10503 NA "MOPC-21" NA NA "0090" 400187 500 2.5 200 "IgG1" 5 0 1681 0
"99" "IgG2A" "PBMC" "1" 638 1543 5 2 5 4044 NA "MOPC-173" NA NA "0091" 400293 500 2.5 200 "IgG2A" 5 1 1777 0.06
"100" "IgG2A" "Lung" "8" 518 1332 5 2 5 5178 NA "MOPC-173" NA NA "0091" 400293 500 2.5 200 "IgG2A" 5 2 1681 0.12
"101" "TCRab" "PBMC" "0" 1224 18538 32 12 32 18747 NA "IP26" "IgG1" "TRAC" "0224" 306743 500 1.25 400 "TCRab" 5.5 554 1777 31.18
"102" "TCRab" "Lung" "14" 174 3199 38 14 38 17543 NA "IP26" "IgG1" "TRAC" "0224" 306743 500 1.25 400 "TCRab" 5.5 497 1681 29.57
"103" "TCRgd" "PBMC" "5" 238 5031 30 19 30 32499 NA "B1" "IgG1" "TRDC" "0139" 331231 500 10 50 "TCRgd" 3 2 1777 0.11
"104" "TCRgd" "Lung" "19" 50 1937 32.5 32.5 49.8 40211 NA "B1" "IgG1" "TRDC" "0139" 331231 500 10 50 "TCRgd" 3 8 1681 0.48
